,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
278,0.02,0.25,0,1.0,0.08333333333333331,0.16666666666666669,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.75,0.0,1.0,0.02
279,0.005,0.0,0,0.75,0.5833333333333334,0.25,0.33333333333333337,0.33333333333333337,0.75,0.8333333333333333,0.0,0.0,0.00375
286,0.0,0.0,0,0.0,0.5,0.5833333333333334,0.5,0.33333333333333337,0.6666666666666666,0.9166666666666667,0.0,0.0,0.0
290,0.0,0.0,0,0.0,0.0,0.0,0.5833333333333334,0.5,1.0,0.8333333333333333,0.0,0.0,0.0
291,0.0,0.0,0,0.0,1.0,0.5,0.16666666666666669,0.0,0.41666666666666663,0.9166666666666667,0.0,0.0,0.0
292,0.0,0.5,0,0.5,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.75,0.6666666666666666,0.41666666666666663,1.0,1.0,0.0
293,0.0,0.0,0,0.0,0.5833333333333334,0.5833333333333334,0.5,0.5,0.75,0.75,0.0,0.0,0.0
294,0.1,0.0,0,0.25,0.5833333333333334,0.25,0.5833333333333334,0.08333333333333331,0.5,0.9166666666666667,0.0,0.0,0.025
295,0.0,0.25,0,0.5,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.0
296,0.001,0.0,0,1.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.6666666666666666,0.75,0.0,0.0,0.001
297,0.1,0.5,0,0.5,0.41666666666666663,0.5,0.5833333333333334,0.75,0.5,0.5833333333333334,0.0,0.0,0.05
299,0.0,0.0,0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
301,0.02,0.25,0,0.75,0.0,0.41666666666666663,0.25,0.33333333333333337,1.0,0.75,0.0,0.0,0.015
302,0.0,0.0,0,0.0,0.0,0.25,0.5833333333333334,0.41666666666666663,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0
303,0.001,0.0,1,0.0,0.16666666666666669,0.0,1.0,0.33333333333333337,0.5833333333333334,0.6666666666666666,0.0,0.0,0.0
304,0.0,0.0,0,0.0,0.0,0.0,0.33333333333333337,0.41666666666666663,1.0,1.0,0.0,0.0,0.0
306,0.0,0.0,0,0.0,0.0,0.0,0.8333333333333333,1.0,0.8333333333333333,0.9166666666666667,0.0,0.0,0.0
309,0.1,0.25,1,0.5,0.16666666666666669,0.0,0.16666666666666669,0.0,0.9166666666666667,1.0,0.0,0.0,0.05
312,0.001,0.0,0,0.25,0.33333333333333337,0.16666666666666669,0.33333333333333337,0.41666666666666663,0.75,0.8333333333333333,0.0,0.0,0.00025
316,0.001,0.25,0,0.5,0.0,0.0,0.6666666666666666,0.41666666666666663,0.5833333333333334,0.8333333333333333,0.0,0.0,0.0005
319,0.1,0.5,1,0.75,0.75,0.8333333333333333,0.9166666666666667,0.9166666666666667,0.75,0.75,0.0,1.0,0.07500000000000001
320,0.0,1.0,0,1.0,0.0,0.0,0.9166666666666667,0.8333333333333333,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0
322,0.0,0.0,0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0
323,0.001,0.0,0,0.75,0.5,0.6666666666666666,0.5,0.5,0.5,0.5833333333333334,1.0,0.0,0.00075
324,0.01,0.5,0,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.005
325,0.02,0.25,0,0.5,0.33333333333333337,0.0,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,0.01
326,0.0,0.0,0,0.25,0.0,0.0,0.5,0.5833333333333334,1.0,1.0,0.0,0.0,0.0
327,0.001,0.25,0,0.25,0.0,0.0,0.9166666666666667,0.5833333333333334,1.0,1.0,0.0,0.0,0.00025
330,0.0,0.0,0,0.0,0.5,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0
332,0.0,0.25,0,0.25,0.6666666666666666,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.5833333333333334,0.0,0.0,0.0
340,0.001,0.5,0,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.0,0.0,0.0005
341,0.0,0.0,0,0.25,0.5833333333333334,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
343,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
344,0.02,0.25,0,0.5,0.0,0.0,0.16666666666666669,0.33333333333333337,0.75,0.9166666666666667,0.0,0.0,0.01
346,0.001,0.25,0,0.0,0.33333333333333337,0.0,0.5,0.5833333333333334,0.41666666666666663,0.75,0.0,0.0,0.0
